system,start_year,end_year,start_label,end_label,subject_area,num_years_reqd,timeline
CSU,1984,2019,,,English,4,subject specific
CSU,1984,1989,,,Mathematics,2,subject specific
CSU,1989,2019,,,Mathematics,3,subject specific
CSU,1989,2003,,,History,1,subject specific
CSU,1989,2003,,,Laboratory Science,1,subject specific
CSU,1989,2019,,,Foreign Language,2,subject specific
CSU,1989,2019,,,Visual and Performing Arts,1,subject specific
CSU,1989,2003,,,Electives,3,subject specific
CSU,2003,2019,,,History,2,subject specific
CSU,2003,2019,,,Laboratory Science,2,subject specific
CSU,2003,2019,,,Electives,1,subject specific
UC,1931,1994,,,History,1,subject specific
UC,1931,1981,,,English,3,subject specific
UC,1931,1986,,,Mathematics,2,subject specific
UC,1931,1994,,,Laboratory Science,1,subject specific
UC,1931,2019,,,Foreign Language,2,subject specific
UC,1931,1986,,,Electives,1,subject specific
UC,1981,2019,,,English,4,subject specific
UC,1986,2019,,,Mathematics,3,subject specific
UC,1986,2003,,,Electives,4,subject specific
UC,1994,2019,,,History,2,subject specific
UC,1994,2019,,,Laboratory Science,2,subject specific
UC,1994,2019,,,Electives,2,subject specific
UC,2003,2019,,,Visual and Performing Arts,1,subject specific
UC,2003,2019,,,Electives,1,subject specific
